,IN
maintain,VB
sufficient,JJ
regular,JJ
contact,NN
inform,NN
monitor,NN
progress,NN
research,NN
.,.
For,IN
full-time,JJ
candidates,NNS
include,VBP
minimum,JJ
eight,CD
supervisory,JJ
meetings,NNS
per,IN
year,NN
(,(
including,VBG
three,CD
formal,JJ
progress,NN
review,NN
meetings,NNS
),)
.,.
For,IN
part-time,JJ
candidates,NNS
include,VBP
minimum,JJ
four,CD
supervisory,JJ
meetings,NNS
per,IN
year,NN
(,(
including,VBG
two,CD
progress,NN
review,NN
meetings,NNS
),)
.,.
Page,VB
6,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
carry,VBP
formal,JJ
reviews,NNS
student,NN
progress,NN
,,,
including,VBG
formal,JJ
report,NN
supervisory,NN
team,NN
research,NN
degree,NN
candidate,VBP
annual,JJ
basis,NN
.,.
aware,JJ
jointly,RB
responsible,JJ
addressing,VBG
potential,JJ
conflicts,NNS
interest,NN
-,:
breakdown,JJ
supervisory,JJ
relationship,NN
-,:
reasonable,JJ
polite,JJ
manner,NN
.,.
Page,VB
7,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
CODE,NNP
OF,NNP
PRACTICE,NNP
1,CD
.,.
Admissions,NNS
),)
Pre-admission,NNP
Promotional,NNP
Materials,NNP
Faculties,NNP
,,,
Schools,NNP
Institutes,NNP
ensure,VB
adequate,JJ
mechanisms,NNS
place,VBP
monitoring,VBG
accuracy,NN
information,NN
pre-admission,NN
promotional,JJ
materials,NNS
.,.
b,NN
),)
Requirements,NNPS
Admission,VBP
The,DT
Regulations,NNP
research,NN
degrees,NNS
set,VBD
admissions,NNS
requirements,NNS
candidates,NNS
.,.
Admission,NNP
candidates,NNS
members,NNS
staff,NN
candidates,NNS
relatives,VBZ
members,NNS
staff,NN
must,MD
approved,VB
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
recommendation,NN
Head,NNP
School,NNP
Study,NNP
Chair,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executive,NNP
(,(
see,VB
Section,NNP
6/Appendix,CD
A,NNP
),)
.,.
c,NN
),)
Admission,NNP
Processes,VBZ
Each,DT
Faculty,NN
must,MD
approved,VB
admission,NN
procedures,NNS
:,:
ensure,VB
appropriately,RB
qualified,JJ
and/or,NN
prepared,VBN
candidates,NNS
admitted,VBD
onto,IN
research,NN
programmes,NNS
;,:
include,VBP
,,,
appropriate,JJ
,,,
mechanisms,JJ
assessing,VBG
candidate,NN
qualifications,NNS
preparedness,VBP
including,VBG
professional,JJ
work,NN
experience,NN
prospective,JJ
candidate,NN
lacks,NNS
first,RB
degree,VBP
and/or,RB
taught,JJ
postgraduate,NN
award,NN
;,:
ensure,VB
applicants,NNS
disabilities,NNS
disadvantaged,VBD
debarred,JJ
criteria,NNS
procedures,NNS
used,VBD
selecting,VBG
research,NN
degree,NN
candidates,NNS
,,,
appropriate,JJ
support,NN
offered,VBD
available,JJ
interview,NN
,,,
applicants,NNS
disabilities,NNS
offered,VBD
place,NN
,,,
support,NN
needs,NNS
identified,VBN
timely,RB
effective,JJ
way,NN
;,:
ensure,VB
topic,NN
identified,VBN
appropriate,JJ
research,NN
degree,NN
,,,
sufficient,JJ
level,NN
volume,NN
expertise,NN
available,JJ
(,(
internal,JJ
external,JJ
University,NNP
),)
support,NN
assess,JJ
candidate,NN
,,,
sufficient,NN
facilities,NNS
resources,NNS
available,JJ
ensure,VB
project,NN
completed,VBN
timely,JJ
fashion,NN
;,:
beyond,IN
basic,JJ
screening,NN
applications,NNS
,,,
involve,VBP
judgement,JJ
one,CD
member,NN
research-active,JJ
academic,JJ
staff,NN
relevant,JJ
expertise,NN
making,NN
admissions,NNS
decisions,NNS
;,:
ensure,VB
references,NNS
taken,VBN
used,JJ
admissions,NNS
decision,NN
.,.
),)
English,JJ
Language,NN
Requirements,NNP
Equivalency,NNP
Qualifications,NNP
Schools,NNP
Institutes,NNP
responsible,JJ
ensuring,VBG
candidates,NNS
admitted,VBN
appropriate,JJ
level,NN
English,JJ
Language,NNP
competency,NN
line,NN
University,NNP
English,NNP
Language,NNP
Requirements,NNP
set,VBD
University,NNP
prospectus,NN
Page,NNP
8,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
Calendar,NNP
.,.
Those,DT
Schools,NNP
Institutes,NNPS
responsibility,NN
research,NN
degree,JJ
admissions,NNS
must,MD
satisfy,VB
English,NNP
language,NN
attainment,NN
candidates,NNS
expected,VBD
cope,NN
aspects,NNS
programme,VBP
,,,
including,VBG
examination,NN
health,NN
safety,NN
requirements,NNS
.,.
e,NN
),)
Offers,VBZ
Admission,NNP
Schools,NNP
Institutes,NNP
must,MD
ensure,VB
information,NN
provided,VBN
Postgraduate,NNP
Research,NNP
Service,NNP
offer,VBP
letter,NN
research,NN
degree,NN
candidates,NNS
accurate,VBP
.,.
Offers,NNPS
admission,NN
set,NN
,,,
writing,VBG
,,,
following,VBG
terms,NNS
admission,NN
:,:
programme,NN
study,NN
,,,
normal,JJ
duration,NN
study,NN
,,,
total,JJ
fees,NNS
,,,
including,VBG
charges,NNS
levied,VBN
;,:
summary,JJ
resources,NNS
,,,
including,VBG
initial,JJ
facilities,NNS
training,NN
,,,
anticipated,VBN
provided,JJ
candidate,NN
;,:
supervisory,JJ
arrangements,NNS
name,VBP
primary,JJ
supervisor,NN
;,:
requirements,NNS
conditions,NNS
sponsor,VBP
;,:
overview,PRP
research,NN
degree,NN
candidates,NNS
responsibilities,NNS
regarding,VBG
academic,JJ
performance,NN
,,,
attendance,NN
,,,
formal,JJ
course-based,JJ
training,NN
,,,
progress,NN
,,,
contact,NN
,,,
registration,NN
,,,
matters,NNS
;,:
clarification,NN
information,NN
provided,VBD
concerning,VBG
University,NNP
regulations,NNS
procedures,NNS
,,,
health,NN
safety,NN
induction,NN
.,.
The,DT
applicans,JJ
agreement,NN
sought,VBD
terms,NNS
set,NN
offer,NN
admission,NN
prior,JJ
registration,NN
.,.
The,DT
research,NN
degree,NN
candidate,NN
Faculty,NNP
,,,
School,NNP
Institute,NNP
responsibility,NN
adhere,RB
original,JJ
intent,NN
agreed,VBD
offer,JJR
admission,NN
.,.
2,CD
.,.
Approval,NNP
Research,NNP
Projects,NNPS
),)
Prior,NNP
Admission,NNP
A,NNP
sufficiently,RB
clear,JJ
outline,NN
proposal,NN
agreed,VBD
research,NN
degree,NN
candidate,NN
prior,JJ
admission,NN
ensure,VB
School,NNP
Institute,NNP
satisfy,NN
:,:
appropriate,JJ
expertise,NN
available,JJ
School,NNP
Institute,NNP
supervise,NN
assess,NN
candidate,NN
;,:
appropriate,JJ
facilities,NNS
sufficient,JJ
resources,NNS
available,JJ
enable,JJ
candidate,NN
carry,NN
work,NN
;,:
sufficient,JJ
related,JJ
research,NN
activity,NN
School,NNP
Institute,NNP
provide,NN
demonstrably,RB
research-active,JJ
environment,NN
candidate,NN
;,:
proposal,NN
suitable,JJ
basis,NN
embarking,VBG
research,NN
degree,NN
project,NN
.,.
b,NN
),)
Following,VBG
Registration,NN
As,IN
part,NN
induction,NN
process,NN
,,,
Initial,NNP
Meeting,NNP
research,NN
degree,NN
candidate,NN
primary,NN
supervisor,NN
within,IN
three,CD
weeks,NNS
registration,NN
proposed,VBD
Probationary,NNP
Review,NNP
panel,NN
meeting,NN
date,NN
Page,NNP
9,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
identified,VBN
.,.
The,DT
role,NN
supervisory,NN
team,NN
members,NNS
percentage,NN
weighting,VBG
clarified,JJ
meeting,NN
.,.
It,PRP
joint,JJ
responsibility,NN
candidate,NN
supervisory,NN
team,NN
agree,VB
Initial,NNP
Meeting,NNP
research,NN
topic,NN
,,,
provisional,JJ
working,VBG
title,NN
appropriate,JJ
degree,NN
,,,
working,VBG
objectives,NNS
project,VBP
timetable,JJ
activity,NN
Period,NNP
Study,NNP
.,.
The,DT
candidate,NN
supervisory,NN
team,NN
also,RB
discuss,VBZ
ethical,JJ
approval,NN
requirements,NNS
research,NN
project,VBP
Initial,NNP
Meeting,NNP
.,.
A,NNP
training,NN
needs,NNS
analysis,NN
meeting,NN
held,VBD
within,IN
8,CD
weeks,NNS
initial,JJ
registration,NN
involve,VB
candidate,NN
least,JJS
two,CD
members,NNS
supervisory,JJ
team,NN
.,.
Where,WRB
candidate,NN
intends,VBZ
comply,JJ
Training,NNP
Pathway,NNP
,,,
results,NNS
analysis,NN
,,,
along,IN
relevant,JJ
Training,NNP
Pathway,NNP
documentation,NN
,,,
used,VBN
prepare,NN
initial,JJ
Personal,NNP
Development,NNP
Plan,NNP
following,VBG
template,NN
reviewed,VBD
throughout,IN
registration,NN
period,NN
,,,
including,VBG
every,DT
Annual,NNP
Progress,NNP
Review,NNP
meeting,NN
.,.
The,DT
first,JJ
Annual,NNP
Progress,NNP
Review,NNP
meeting,NN
normally,RB
occurs,VBZ
eighth,JJ
month,NN
initial,JJ
registration,NN
full-time,JJ
students,NNS
twentieth,JJ
month,NN
part-time,JJ
students,NNS
.,.
3,CD
.,.
Research,NNP
Degree,NNP
Candidate,NNP
Information,NNP
Induction,NNP
Each,DT
School,NNP
Institute,NNP
responsible,JJ
arranging,VBG
induction,NN
orientation,NN
new,JJ
research,NN
degree,NN
candidates,NNS
.,.
Induction,NNP
programmes,VBZ
reflect,JJ
local,JJ
research,NN
environment,NN
subject,JJ
area,NN
,,,
Schools,NNP
Institutes,NNP
ensure,VB
research,NN
degree,NN
candidates,NNS
informed,VBD
:,:
nature,NN
postgraduate,VBP
research,NN
degree,NN
,,,
issues,NNS
research,NN
degree,NN
candidates,NNS
typically,RB
face,VBP
course,NN
studies,NNS
,,,
sources,NNS
guidance,VBP
event,NN
difficulties,NNS
;,:
clear,JJ
